strain	LPS_type
MT1B1	R1
AN17	R1
LF82	R1
LF73	R1
LF7074	R1
NRG807C	R1
LF31	R1
LM33	K12
T145	R1
BDX09	R4
536	R1
T205	R1
T147	R1
LF50	R1
DIJ07	R3
LI10	K12
LM02	R3
LM40	R3
BDX03	R3
PDP351	R1
BE	K12
PDP110	R1
LM07	R1
AL505	R1
AN24	No_waaL
BL21	R1
PDP21	R3
BCH953	R1
55989	R3
NAN33	No_waaL
DIJ06	R1
NIC06	No_waaL
LM08	R3
H27	No_waaL
