Gembase Strain
ESCO.0722.00165 ECOR-29
ESCO.0722.00166 BDX09
ESCO.0722.00167 ECOR-70
ESCO.0722.00168 NILS67
ESCO.0722.00169 536
ESCO.0722.00170 T205
ESCO.0722.00171 ROAR176
ESCO.0722.00172 NILS73
ESCO.0722.00173 ROAR291
ESCO.0722.00174 NILS70
ESCO.0722.00175 B156
ESCO.0722.00176 IAI73
ESCO.0722.00177 H1-004-0021-W-I
ESCO.0722.00178 ECOR-44
ESCO.0722.00179 NILS55
ESCO.0722.00180 NILS60
ESCO.0722.00181 NILS64
ESCO.0722.00182 NILS47
ESCO.0722.00183 NILS74
ESCO.0722.00184 IAI20
ESCO.0722.00185 ECOR-07
ESCO.0722.00186 ECOR-58
ESCO.0722.00187 NILS79
ESCO.0722.00188 H1-002-0060-C-T
ESCO.0722.00189 NILS62
ESCO.0722.00190 NILS78
ESCO.0722.00191 IAI30
ESCO.0722.00192 ECOR-34
ESCO.0722.00193 H1-001-0020-M-O
ESCO.0722.00194 ROAR334
ESCO.0722.00195 ROAR220
ESCO.0722.00196 IAI75
ESCO.0722.00197 IAI71
ESCO.0722.00198 H1-002-0011-M-G
ESCO.0722.00199 H1-003-0105-C-R
ESCO.0722.00200 NILS53
ESCO.0722.00201 T147
ESCO.0722.00202 S1-11
ESCO.0722.00203 Asp51g
ESCO.0722.00204 ROAR434
ESCO.0722.00205 NILS57
ESCO.0722.00206 ECOR-69
ESCO.0722.00207 IAI43
ESCO.0722.00208 IAI67
ESCO.0722.00209 ECOR-46
ESCO.0722.00210 NILS21
ESCO.0722.00211 ROAR059
ESCO.0722.00212 NILS72
ESCO.0722.00213 ROAR036
ESCO.0722.00214 NILS10
ESCO.0722.00215 LF50
ESCO.0722.00216 H1-003-0090-V-J
ESCO.0722.00217 ROAR205
ESCO.0722.00218 NILS66
ESCO.0722.00219 H1-005-0065-L-P
ESCO.0722.00220 NILS42
ESCO.0722.00221 NILS15
ESCO.0722.00222 ECOR-31
ESCO.0722.00223 IAI34
ESCO.0722.00224 IAI38
ESCO.0722.00225 ECOR-04
ESCO.0722.00226 LMR-3158
ESCO.0722.00227 025-010
ESCO.0722.00228 ROAR178
ESCO.0722.00229 H1-001-0131-C-A
ESCO.0722.00230 DIJ07
ESCO.0722.00231 H1-004-0007-O-M
ESCO.0722.00232 H47
ESCO.0722.00233 IAI78
ESCO.0722.00234 H1-001-0013-L-J
ESCO.0722.00235 ROAR131
ESCO.0722.00236 ECOR-24
ESCO.0722.00237 H1-004-0017-B-M
ESCO.0722.00238 NILS06
ESCO.0722.00239 NILS31
ESCO.0722.00240 NILS52
ESCO.0722.00241 H1-001-0053-K-C
ESCO.0722.00242 IAI08
ESCO.0722.00243 IAI81
ESCO.0722.00244 IAI79
ESCO.0722.00245 H1-003-0120-P-R
ESCO.0722.00246 NILS39
ESCO.0722.00247 IAI80
ESCO.0722.00248 ECOR-15
ESCO.0722.00249 H009
ESCO.0722.00250 NILS43
ESCO.0722.00251 H1-001-0154-T-K
ESCO.0722.00252 NILS22
ESCO.0722.00253 H1-001-0034-S-M
ESCO.0722.00254 H1-003-0115-L-R
ESCO.0722.00255 NILS23
ESCO.0722.00256 LI10
ESCO.0722.00257 LM02
ESCO.0722.00258 LM40
ESCO.0722.00259 NILS33
ESCO.0722.00260 IAI09
ESCO.0722.00261 E1492
ESCO.0722.00262 H1-003-0010-G-J
ESCO.0722.00263 NILS14
ESCO.0722.00264 ROAR043
ESCO.0722.00265 NILS56
ESCO.0722.00266 034-026-c1
ESCO.0722.00267 IAI29
ESCO.0722.00268 VDG427
ESCO.0722.00269 BDX03
ESCO.0722.00270 PDP351
ESCO.0722.00271 NILS34
ESCO.0722.00272 034-008
ESCO.0722.00273 ROAR400
ESCO.0722.00274 IAI18
ESCO.0722.00275 ECOR-14
ESCO.0722.00276 IAI48
ESCO.0722.00277 BE
ESCO.0722.00278 ECOR-43_A
ESCO.0722.00279 NILS18
ESCO.0722.00280 ROAR145
ESCO.0722.00281 IAI03
ESCO.0722.00282 IAI13
ESCO.0722.00283 ECOR-08
ESCO.0722.00284 370D
ESCO.0722.00285 H1-003-0054-P-P
ESCO.0722.00286 ROAR129
ESCO.0722.00287 IAI05
ESCO.0722.00288 B1932
ESCO.0722.00289 IAI17
ESCO.0722.00290 NILS41
ESCO.0722.00291 NILS40
ESCO.0722.00292 035-004
ESCO.0722.00293 ECOR-18
ESCO.0722.00294 IAI22
ESCO.0722.00295 IAI15
ESCO.0722.00296 ECOR-03
ESCO.0722.00297 PDP110
ESCO.0722.00298 ECOR-37
ESCO.0722.00299 H1-001-0155-M-I
ESCO.0722.00300 ECOR-05
ESCO.0722.00301 NILS13
ESCO.0722.00302 ECOR-17
ESCO.0722.00303 ECOR-72
ESCO.0722.00304 E1426
ESCO.0722.00305 ECOR-11
ESCO.0722.00306 LM07
ESCO.0722.00307 921A
ESCO.0722.00308 AL505
ESCO.0722.00309 ECOR-71
ESCO.0722.00310 ECOR-12
ESCO.0722.00311 IAI40
ESCO.0722.00312 IAI27
ESCO.0722.00313 IAI31
ESCO.0722.00314 ECOR-16
ESCO.0722.00315 IAI21
ESCO.0722.00316 H1-006-0003-S-L
ESCO.0722.00317 NILS50
ESCO.0722.00318 NILS20
ESCO.0722.00319 Ben4d
ESCO.0722.00320 IAI28
ESCO.0722.00321 M863
ESCO.0722.00322 H1-003-0088-B-J
